"タイトル","学会.年度","paperリンク","codeリンク"
"Three types of incremental learning","Nature Machine Intelligence, 2022","https://www.nature.com/articles/s42256-022-00568-3","Null"
"Modular Memory is the Key to Continual Learning Agents","arXiv, 2026","https://arxiv.org/abs/2603.01761","Null"
"Expandable Subspace Ensemble for Pre-Trained Model-Based Class-Incremental Learning","CVPR, 2024","https://arxiv.org/abs/2403.12030","https://github.com/sun-hailong/CVPR24-Ease"
"RanPAC: Random Projections and Pre-trained Models for Continual Learning","NeurIPS, 2023","https://arxiv.org/abs/2307.02251","https://github.com/RanPAC/RanPAC"
"AREA: Attribute Extraction and Aggregation for CLIP-Based Class-Incremental Learning","ICML, 2026","https://arxiv.org/abs/2605.28809","https://github.com/LAMDA-CL/ICML2026-AREA"
"SAME: Stabilized Mixture-of-Experts for Multimodal Continual Instruction Tuning","ICML, 2026","https://arxiv.org/abs/2602.01990","Null"
"RACE: Robust adaptive and clustering elimination for noisy labels in continual learning","Knowledge-Based Systems, 2025","Null","Null"
"MEAL: A Benchmark for Continual Multi-Agent Reinforcement Learning","ICML, 2026","https://arxiv.org/abs/2506.14990","Null"
